t,s,x,y,psi,v,delta,a_cmd,ddelta_cmd,ey,epsi,dv,v_ref,x_ref,y_ref,psi_ref,alpha,dmin
43.600000,1432.854742,1432.860252,-3.302684,0.003157,32.999967,0.000240,0.000000,-0.000021,-0.002368,0.000150,-0.000033,33.000000,1432.854742,-3.300332,0.003006,0.000000,1131.861686
43.700000,1436.154062,1436.160232,-3.292267,0.003450,32.999967,0.000238,-0.000000,-0.000021,-0.002360,0.000150,-0.000033,33.000000,1436.154062,-3.289927,0.003300,0.000000,1135.161646
43.800000,1439.453548,1439.460209,-3.280880,0.003742,32.999967,0.000236,-0.000000,-0.000020,-0.002354,0.000149,-0.000033,33.000000,1439.453548,-3.278550,0.003592,0.000000,1138.461601
43.900000,1442.753034,1442.760183,-3.268533,0.004030,32.999967,0.000234,-0.000000,-0.000025,-0.002339,0.000149,-0.000033,33.000000,1442.753034,-3.266221,0.003882,0.000000,1141.761552
44.000000,1446.052359,1446.060153,-3.255233,0.004317,32.999967,0.000232,-0.000000,-0.000029,-0.002319,0.000148,-0.000033,33.000000,1446.052359,-3.252946,0.004169,0.000000,1145.061497
44.100000,1449.351847,1449.360119,-3.240988,0.004600,32.999967,0.000229,-0.000000,-0.000025,-0.002311,0.000147,-0.000033,33.000000,1449.351847,-3.238714,0.004453,0.000000,1148.361438
44.200000,1452.651336,1452.660081,-3.225808,0.004880,32.999967,0.000226,-0.000000,-0.000030,-0.002293,0.000146,-0.000033,33.000000,1452.651336,-3.223557,0.004734,0.000000,1151.661373
44.300000,1455.950825,1455.960038,-3.209705,0.005156,32.999967,0.000223,-0.000000,-0.000035,-0.002266,0.000145,-0.000033,33.000000,1455.950825,-3.207485,0.005012,0.000000,1154.961303
44.400000,1459.250161,1459.259991,-3.192689,0.005429,32.999967,0.000220,-0.000000,-0.000031,-0.002252,0.000143,-0.000033,33.000000,1459.250161,-3.190489,0.005286,0.000000,1158.261227
44.500000,1462.549653,1462.559939,-3.174772,0.005698,32.999967,0.000217,-0.000000,-0.000029,-0.002234,0.000141,-0.000033,33.000000,1462.549653,-3.172596,0.005557,0.000000,1161.561146
44.600000,1465.849146,1465.859882,-3.155969,0.005963,32.999967,0.000214,-0.000000,-0.000029,-0.002210,0.000138,-0.000033,33.000000,1465.849146,-3.153822,0.005825,0.000000,1164.861058
44.700000,1469.148493,1469.159820,-3.136291,0.006224,32.999967,0.000211,-0.000000,-0.000023,-0.002192,0.000136,-0.000033,33.000000,1469.148493,-3.134168,0.006088,0.000000,1168.160966
44.800000,1472.447990,1472.459753,-3.115751,0.006482,32.999967,0.000209,-0.000000,-0.000019,-0.002179,0.000135,-0.000033,33.000000,1472.447990,-3.113646,0.006347,0.000000,1171.460867
44.900000,1475.747487,1475.759681,-3.094360,0.006737,32.999967,0.000207,-0.000000,-0.000028,-0.002157,0.000135,-0.000033,33.000000,1475.747487,-3.092283,0.006602,0.000000,1174.760762
45.000000,1479.046847,1479.059603,-3.072127,0.006990,32.999967,0.000204,-0.000000,-0.000049,-0.002124,0.000137,-0.000033,33.000000,1479.046847,-3.070090,0.006853,0.000000,1178.060651
45.100000,1482.346350,1482.359519,-3.049061,0.007239,32.999967,0.000199,-0.000000,-0.000079,-0.002090,0.000140,-0.000033,33.000000,1482.346350,-3.047064,0.007099,0.000000,1181.360533
45.200000,1485.645855,1485.659429,-3.025172,0.007482,32.999967,0.000191,0.000000,-0.000131,-0.002030,0.000142,-0.000033,33.000000,1485.645855,-3.023241,0.007340,0.000000,1184.660410
45.300000,1488.945361,1488.959333,-3.000481,0.007716,32.999967,0.000178,0.000000,-0.000186,-0.001949,0.000139,-0.000033,33.000000,1488.945361,-2.998637,0.007576,0.000000,1187.960280
45.400000,1492.244741,1492.259232,-2.975018,0.007934,32.999967,0.000159,0.000000,-0.000217,-0.001880,0.000126,-0.000033,33.000000,1492.244741,-2.973251,0.007808,0.000000,1191.260144
45.500000,1495.544254,1495.559125,-2.948838,0.008128,32.999967,0.000138,0.000000,-0.000211,-0.001844,0.000095,-0.000033,33.000000,1495.544254,-2.947113,0.008034,0.000000,1194.560003
45.600000,1498.843769,1498.859012,-2.922015,0.008297,32.999967,0.000117,-0.000000,0.000092,-0.001897,0.000043,-0.000033,33.000000,1498.843769,-2.920244,0.008254,0.000000,1197.859856
45.700000,1500.000000,1502.158896,-2.894636,0.008439,32.999967,0.000126,0.000000,-0.000593,-0.001890,0.000142,-0.000033,33.000000,1500.000000,-2.910660,0.008297,0.000000,1201.159705
