t,s,x,y,psi,v,delta,a_cmd,ddelta_cmd,ey,epsi,dv,v_ref,x_ref,y_ref,psi_ref
0.000000,1.000000,0.000000,-1.850000,0.011780,28.000000,0.000000,3.000001,-0.000213,-0.000000,0.000000,-5.000000,33.000000,1.000000,-1.838219,0.011780
0.100000,2.799806,2.799806,-1.817016,0.011780,28.250000,-0.000021,3.000001,0.000194,0.000002,0.000003,-4.750000,33.000000,2.799806,-1.817018,0.011777
0.200000,5.624610,5.624610,-1.783737,0.011758,28.500000,-0.000002,3.000001,-0.000201,0.000021,-0.000011,-4.500000,33.000000,5.624610,-1.783759,0.011769
0.300000,8.474413,8.474413,-1.750228,0.011756,28.750000,-0.000022,3.000001,-0.000032,0.000010,0.000002,-4.250000,33.000000,8.474413,-1.750238,0.011754
0.400000,11.349215,11.349214,-1.716430,0.011732,29.000000,-0.000025,3.000001,-0.000086,0.000043,-0.000001,-4.000000,33.000000,11.349215,-1.716473,0.011733
0.500000,14.249015,14.249014,-1.682407,0.011705,29.250000,-0.000034,3.000001,-0.000056,0.000077,-0.000001,-3.750000,33.000000,14.249015,-1.682484,0.011707
0.600000,17.173815,17.173814,-1.648170,0.011668,29.500000,-0.000039,3.000001,-0.000061,0.000119,-0.000005,-3.500000,33.000000,17.173815,-1.648290,0.011673
0.700000,20.123615,20.123613,-1.613749,0.011625,29.750000,-0.000046,3.000001,-0.000058,0.000162,-0.000008,-3.250000,33.000000,20.123615,-1.613911,0.011633
0.800000,23.098415,23.098412,-1.579164,0.011575,30.000000,-0.000051,3.000000,-0.000058,0.000205,-0.000012,-3.000000,33.000000,23.098415,-1.579369,0.011587
0.900000,26.098214,26.098211,-1.544440,0.011518,30.250000,-0.000057,3.000000,-0.000058,0.000247,-0.000016,-2.750000,33.000000,26.098214,-1.544687,0.011534
1.000000,29.123014,29.123011,-1.509599,0.011454,30.500000,-0.000063,3.000000,-0.000059,0.000289,-0.000020,-2.500000,33.000000,29.123014,-1.509888,0.011473
1.100000,32.172814,32.172811,-1.474665,0.011383,30.750000,-0.000069,3.000001,-0.000059,0.000330,-0.000023,-2.250000,33.000000,32.172814,-1.474995,0.011406
1.200000,35.247616,35.247611,-1.439664,0.011304,31.000000,-0.000075,3.000002,-0.000058,0.000371,-0.000028,-2.000000,33.000000,35.247616,-1.440035,0.011332
1.300000,38.347418,38.347413,-1.404622,0.011218,31.250000,-0.000081,3.000008,-0.000058,0.000411,-0.000032,-1.750000,33.000000,38.347418,-1.405032,0.011250
1.400000,41.472222,41.472217,-1.369565,0.011125,31.500000,-0.000086,3.000032,-0.000058,0.000449,-0.000036,-1.500000,33.000000,41.472222,-1.370014,0.011161
1.500000,44.622027,44.622022,-1.334521,0.011024,31.750000,-0.000092,3.000004,-0.000057,0.000487,-0.000040,-1.250000,33.000000,44.622027,-1.335008,0.011064
1.600000,47.796834,47.796829,-1.299520,0.010916,32.000000,-0.000098,3.000002,-0.000057,0.000522,-0.000044,-1.000000,33.000000,47.796834,-1.300042,0.010960
1.700000,50.996644,50.996638,-1.264590,0.010800,32.250000,-0.000104,3.000001,-0.000056,0.000555,-0.000048,-0.750000,33.000000,50.996644,-1.265145,0.010848
1.800000,54.221456,54.221450,-1.229761,0.010676,32.500000,-0.000109,3.000001,-0.000073,0.000594,-0.000052,-0.500000,33.000000,54.221456,-1.230355,0.010728
1.900000,57.471271,57.471265,-1.195065,0.010545,32.750000,-0.000116,3.000001,-0.000049,0.000631,-0.000056,-0.250000,33.000000,57.471271,-1.195696,0.010600
2.000000,60.746090,60.746083,-1.160532,0.010403,33.000000,-0.000121,3.000002,-0.000048,0.000666,-0.000062,0.000000,33.000000,60.746090,-1.161198,0.010465
2.100000,64.045911,64.045904,-1.126202,0.010255,33.250000,-0.000126,3.000004,-0.000056,0.000695,-0.000066,0.250000,33.000000,64.045911,-1.126897,0.010321
2.200000,67.370737,67.370729,-1.092105,0.010099,33.500000,-0.000132,3.000010,-0.000076,0.000729,-0.000070,0.500000,33.000000,67.370737,-1.092834,0.010169
2.300000,70.720566,70.720558,-1.058272,0.009936,33.750000,-0.000139,3.000056,-0.000040,0.000760,-0.000073,0.750000,33.000000,70.720566,-1.059032,0.010009
2.400000,74.095400,74.095392,-1.024739,0.009762,34.000000,-0.000143,3.000145,-0.000048,0.000790,-0.000080,1.000000,33.000000,74.095400,-1.025529,0.009841
2.500000,77.495238,77.495230,-0.991549,0.009581,34.250000,-0.000148,3.000132,-0.000074,0.000821,-0.000084,1.250000,33.000000,77.495238,-0.992371,0.009665
2.600000,80.920081,80.920073,-0.958734,0.009393,34.500000,-0.000156,2.999946,-0.000033,0.000844,-0.000087,1.500000,33.000000,80.920081,-0.959578,0.009480
2.700000,84.369929,84.369920,-0.926329,0.009194,34.750000,-0.000159,2.999773,-0.000071,0.000878,-0.000093,1.750000,33.000000,84.369929,-0.927206,0.009287
2.800000,87.844782,87.844774,-0.894379,0.008990,35.000000,-0.000166,2.999991,-0.000037,0.000899,-0.000096,2.000000,33.000000,87.844782,-0.895278,0.009086
2.900000,91.344640,91.344632,-0.862915,0.008775,35.250000,-0.000170,3.000067,-0.000060,0.000929,-0.000102,2.250000,33.000000,91.344640,-0.863844,0.008877
3.000000,94.869505,94.869496,-0.831985,0.008553,35.500000,-0.000176,3.000020,-0.000038,0.000947,-0.000106,2.500000,33.000000,94.869505,-0.832932,0.008659
3.100000,98.419375,98.419367,-0.801622,0.008322,35.750000,-0.000180,2.999911,-0.000064,0.000974,-0.000111,2.750000,33.000000,98.419375,-0.802596,0.008433
3.200000,101.994251,101.994243,-0.771871,0.008084,36.000000,-0.000186,2.999892,-0.000024,0.000987,-0.000114,3.000000,33.000000,101.994251,-0.772858,0.008199
3.300000,105.594133,105.594125,-0.742769,0.007836,36.250000,-0.000188,3.000034,-0.000079,0.001017,-0.000120,3.250000,33.000000,105.594133,-0.743785,0.007956
3.400000,109.219022,109.219014,-0.714363,0.007583,36.500000,-0.000196,3.000071,-0.000024,0.001031,-0.000122,3.500000,33.000000,109.219022,-0.715394,0.007706
3.500000,112.868917,112.868909,-0.686684,0.007318,36.750000,-0.000199,2.999976,-0.000036,0.001052,-0.000129,3.750000,33.000000,112.868917,-0.687736,0.007447
3.600000,116.543818,116.543811,-0.659791,0.007047,37.000000,-0.000202,3.000046,-0.000064,0.001069,-0.000133,4.000000,33.000000,116.543818,-0.660861,0.007181
3.700000,120.243726,120.243719,-0.633716,0.006770,37.250000,-0.000209,3.000021,-0.000026,0.001080,-0.000136,4.250000,33.000000,120.243726,-0.634796,0.006906
3.800000,123.968641,123.968633,-0.608497,0.006482,37.500000,-0.000211,3.000089,-0.000027,0.001091,-0.000142,4.500000,33.000000,123.968641,-0.609588,0.006624
3.900000,127.718562,127.718555,-0.584188,0.006189,37.750000,-0.000214,2.999937,-0.000071,0.001108,-0.000145,4.750000,33.000000,127.718562,-0.585296,0.006334
4.000000,131.493489,131.493482,-0.560825,0.005890,38.000000,-0.000221,2.999993,-0.000025,0.001120,-0.000147,5.000000,33.000000,131.493489,-0.561945,0.006037
4.100000,135.293423,135.293416,-0.538444,0.005579,38.250000,-0.000224,2.999976,-0.000011,0.001135,-0.000154,5.250000,33.000000,135.293423,-0.539579,0.005733
4.200000,139.118363,139.118357,-0.517106,0.005262,38.500000,-0.000225,2.999930,-0.000034,0.001136,-0.000159,5.500000,33.000000,139.118363,-0.518242,0.005421
4.300000,142.968309,142.968303,-0.496847,0.004942,38.750000,-0.000228,3.000021,-0.000049,0.001133,-0.000161,5.750000,33.000000,142.968309,-0.497980,0.005102
4.400000,146.843262,146.843256,-0.477699,0.004614,39.000000,-0.000233,2.999998,-0.000044,0.001144,-0.000162,6.000000,33.000000,146.843262,-0.478843,0.004777
4.500000,150.743220,150.743215,-0.459702,0.004278,39.250000,-0.000237,3.000043,-0.000007,0.001159,-0.000167,6.250000,33.000000,150.743220,-0.460862,0.004445
4.600000,154.668184,154.668179,-0.442911,0.003933,39.500000,-0.000238,2.999964,-0.000007,0.001169,-0.000173,6.500000,33.000000,154.668184,-0.444080,0.004106
4.700000,158.618153,158.618148,-0.427375,0.003585,39.750000,-0.000239,2.498322,-0.000025,0.001165,-0.000177,6.750000,33.000000,158.618153,-0.428540,0.003762
4.800000,162.593127,162.593123,-0.413125,0.003234,39.999832,-0.000241,-0.000266,-0.000021,0.001157,-0.000178,6.999832,33.000000,162.593127,-0.414282,0.003412
4.900000,166.593088,166.593085,-0.400190,0.002876,39.999806,-0.000243,-0.000000,0.000004,0.001156,-0.000179,6.999806,33.000000,166.593088,-0.401347,0.003056
5.000000,170.593052,170.593049,-0.388685,0.002516,39.999806,-0.000243,-0.000000,-0.000026,0.001156,-0.000181,6.999806,33.000000,170.593052,-0.389841,0.002697
5.100000,174.593020,174.593017,-0.378621,0.002156,39.999806,-0.000245,0.000000,-0.000032,0.001155,-0.000179,6.999806,33.000000,174.593020,-0.379776,0.002335
5.200000,178.592990,178.592988,-0.369996,0.001793,39.999806,-0.000249,0.000000,-0.000007,0.001166,-0.000179,6.999806,33.000000,178.592990,-0.371162,0.001971
5.300000,182.592964,182.592962,-0.362826,0.001424,39.999806,-0.000249,0.000000,0.000005,0.001181,-0.000181,6.999806,33.000000,182.592964,-0.364007,0.001606
5.400000,186.592940,186.592939,-0.357129,0.001055,39.999806,-0.000249,0.000000,-0.000004,0.001190,-0.000183,6.999806,33.000000,186.592940,-0.358319,0.001238
5.500000,190.592918,190.592917,-0.352910,0.000686,39.999806,-0.000249,-0.000000,-0.000010,0.001193,-0.000183,6.999806,33.000000,190.592918,-0.354103,0.000870
5.600000,194.592897,194.592897,-0.350166,0.000317,39.999806,-0.000250,-0.000000,-0.000001,0.001198,-0.000183,6.999806,33.000000,194.592897,-0.351364,0.000500
5.700000,198.592877,198.592877,-0.348898,-0.000054,39.999806,-0.000250,0.000000,0.000007,0.001205,-0.000184,6.999806,33.000000,198.592877,-0.350103,0.000130
5.800000,202.592857,202.592858,-0.349113,-0.000425,39.999806,-0.000250,-0.000000,0.000007,0.001209,-0.000185,6.999806,33.000000,202.592857,-0.350322,-0.000240
5.900000,206.592837,206.592838,-0.350811,-0.000794,39.999806,-0.000249,0.000000,0.000005,0.001211,-0.000185,6.999806,33.000000,206.592837,-0.352022,-0.000610
6.000000,210.592816,210.592817,-0.353988,-0.001163,39.999806,-0.000248,0.000000,0.000009,0.001211,-0.000184,6.999806,33.000000,210.592816,-0.355199,-0.000979
6.100000,214.592793,214.592795,-0.358641,-0.001531,39.999806,-0.000247,-0.000000,0.000014,0.001211,-0.000184,6.999806,33.000000,214.592793,-0.359852,-0.001347
6.200000,218.592769,218.592771,-0.364765,-0.001898,39.999806,-0.000246,0.000000,0.000016,0.001211,-0.000183,6.999806,33.000000,218.592769,-0.365976,-0.001714
6.300000,222.592742,222.592744,-0.372356,-0.002262,39.999806,-0.000244,-0.000000,0.000017,0.001208,-0.000183,6.999806,33.000000,222.592742,-0.373564,-0.002079
6.400000,226.592712,226.592715,-0.381405,-0.002624,39.999806,-0.000243,-0.000000,0.000019,0.001204,-0.000182,6.999806,33.000000,226.592712,-0.382609,-0.002443
6.500000,230.592678,230.592681,-0.391903,-0.002984,39.999806,-0.000241,0.000000,0.000022,0.001199,-0.000181,6.999806,33.000000,230.592678,-0.393102,-0.002803
6.600000,234.592640,234.592644,-0.403839,-0.003341,39.999806,-0.000239,-0.000000,0.000025,0.001193,-0.000180,6.999806,33.000000,234.592640,-0.405033,-0.003161
6.700000,238.592598,238.592602,-0.417203,-0.003695,39.999806,-0.000236,0.000000,0.000027,0.001186,-0.000178,6.999806,33.000000,238.592598,-0.418389,-0.003516
6.800000,242.592551,242.592556,-0.431981,-0.004044,39.999806,-0.000233,-0.000000,0.000029,0.001178,-0.000177,6.999806,33.000000,242.592551,-0.433159,-0.003868
6.900000,246.592499,246.592503,-0.448159,-0.004390,39.999806,-0.000231,0.000000,0.000031,0.001168,-0.000175,6.999806,33.000000,246.592499,-0.449327,-0.004215
7.000000,250.592440,250.592445,-0.465720,-0.004732,39.999806,-0.000227,-0.000000,0.000034,0.001157,-0.000173,6.999806,33.000000,250.592440,-0.466877,-0.004559
7.100000,254.592376,254.592381,-0.484646,-0.005069,39.999806,-0.000224,-0.000000,0.000036,0.001146,-0.000171,6.999806,33.000000,254.592376,-0.485792,-0.004898
7.200000,258.592304,258.592310,-0.504920,-0.005400,39.999806,-0.000220,-0.000000,0.000038,0.001133,-0.000169,6.999806,33.000000,258.592304,-0.506053,-0.005232
7.300000,262.592226,262.592233,-0.526522,-0.005727,39.999806,-0.000217,0.000000,0.000040,0.001118,-0.000166,6.999806,33.000000,262.592226,-0.527640,-0.005561
7.400000,266.592141,266.592148,-0.549430,-0.006048,39.999806,-0.000213,0.000000,0.000042,0.001103,-0.000163,6.999806,33.000000,266.592141,-0.550533,-0.005884
7.500000,270.592048,270.592055,-0.573620,-0.006363,39.999806,-0.000208,0.000000,0.000044,0.001087,-0.000161,6.999806,33.000000,270.592048,-0.574707,-0.006202
7.600000,274.591948,274.591955,-0.599071,-0.006671,39.999806,-0.000204,-0.000000,0.000046,0.001070,-0.000158,6.999806,33.000000,274.591948,-0.600141,-0.006514
7.700000,278.591839,278.591846,-0.625756,-0.006973,39.999806,-0.000199,-0.000000,0.000048,0.001051,-0.000155,6.999806,33.000000,278.591839,-0.626807,-0.006819
7.800000,282.591722,282.591729,-0.653649,-0.007268,39.999806,-0.000194,0.000000,0.000050,0.001032,-0.000151,6.999806,33.000000,282.591722,-0.654680,-0.007117
7.900000,286.591597,286.591604,-0.682722,-0.007556,39.999806,-0.000189,-0.000000,0.000052,0.001011,-0.000148,6.999806,33.000000,286.591597,-0.683733,-0.007408
8.000000,290.591463,290.591471,-0.712947,-0.007837,39.999806,-0.000184,0.000000,0.000054,0.000990,-0.000145,6.999806,33.000000,290.591463,-0.713937,-0.007692
8.100000,294.591321,294.591328,-0.744295,-0.008110,39.999806,-0.000179,-0.000000,0.000056,0.000967,-0.000141,6.999806,33.000000,294.591321,-0.745262,-0.007969
8.200000,298.591170,298.591177,-0.776733,-0.008374,39.999806,-0.000173,-0.000000,0.000057,0.000944,-0.000137,6.999806,33.000000,298.591170,-0.777677,-0.008237
8.300000,302.591010,302.591018,-0.810230,-0.008631,39.999806,-0.000167,0.000000,0.000059,0.000920,-0.000133,6.999806,33.000000,302.591010,-0.811150,-0.008498
8.400000,306.590842,306.590849,-0.844753,-0.008879,39.999806,-0.000161,-0.000000,0.000061,0.000894,-0.000129,6.999806,33.000000,306.590842,-0.845648,-0.008750
8.500000,310.590664,310.590672,-0.880269,-0.009118,39.999806,-0.000155,0.000000,0.000062,0.000868,-0.000125,6.999806,33.000000,310.590664,-0.881137,-0.008993
8.600000,314.590479,314.590487,-0.916741,-0.009348,39.999806,-0.000149,-0.000000,0.000064,0.000841,-0.000121,6.999806,33.000000,314.590479,-0.917582,-0.009228
8.700000,318.590285,318.590292,-0.954134,-0.009569,39.999806,-0.000143,-0.000000,0.000065,0.000814,-0.000116,6.999806,33.000000,318.590285,-0.954947,-0.009453
8.800000,322.590082,322.590090,-0.992410,-0.009781,39.999806,-0.000136,0.000000,0.000066,0.000785,-0.000112,6.999806,33.000000,322.590082,-0.993195,-0.009669
8.900000,326.589871,326.589879,-1.031533,-0.009983,39.999806,-0.000130,-0.000000,0.000068,0.000756,-0.000107,6.999806,33.000000,326.589871,-1.032289,-0.009876
9.000000,330.589653,330.589660,-1.071464,-0.010175,39.999806,-0.000123,0.000000,0.000069,0.000725,-0.000102,6.999806,33.000000,330.589653,-1.072189,-0.010073
9.100000,334.589427,334.589434,-1.112163,-0.010357,39.999806,-0.000116,-0.000000,0.000070,0.000695,-0.000097,6.999806,33.000000,334.589427,-1.112857,-0.010260
9.200000,338.589193,338.589200,-1.153589,-0.010529,39.999806,-0.000109,-0.000000,0.000071,0.000663,-0.000092,6.999806,33.000000,338.589193,-1.154252,-0.010436
9.300000,342.588952,342.588959,-1.195703,-0.010690,39.999806,-0.000102,0.000000,0.000072,0.000631,-0.000087,6.999806,33.000000,342.588952,-1.196334,-0.010603
9.400000,346.588704,346.588711,-1.238463,-0.010841,39.999806,-0.000095,-0.000000,0.000073,0.000598,-0.000082,6.999806,33.000000,346.588704,-1.239061,-0.010759
9.500000,350.588450,350.588456,-1.281825,-0.010981,39.999806,-0.000087,0.000000,0.000074,0.000565,-0.000077,6.999806,33.000000,350.588450,-1.282390,-0.010904
9.600000,354.588190,354.588196,-1.325749,-0.011110,39.999806,-0.000080,0.000000,0.000075,0.000531,-0.000072,6.999806,33.000000,354.588190,-1.326279,-0.011039
9.700000,358.587924,358.587929,-1.370189,-0.011229,39.999806,-0.000072,-0.000000,0.000076,0.000496,-0.000066,6.999806,33.000000,358.587924,-1.370685,-0.011163
9.800000,362.587652,362.587658,-1.415103,-0.011336,39.999806,-0.000065,-0.000000,0.000076,0.000461,-0.000061,6.999806,33.000000,362.587652,-1.415565,-0.011275
9.900000,366.587376,366.587381,-1.460446,-0.011432,39.999806,-0.000057,-0.000000,0.000077,0.000426,-0.000055,6.999806,33.000000,366.587376,-1.460872,-0.011377
10.000000,370.587096,370.587100,-1.506174,-0.011517,39.999806,-0.000050,0.000000,0.000077,0.000390,-0.000050,6.999806,33.000000,370.587096,-1.506564,-0.011467
10.100000,374.586812,374.586816,-1.552240,-0.011590,39.999806,-0.000042,-0.000000,0.000078,0.000354,-0.000044,6.999806,33.000000,374.586812,-1.552594,-0.011546
10.200000,378.586524,378.586527,-1.598601,-0.011652,39.999806,-0.000034,-0.000000,0.000078,0.000317,-0.000038,6.999806,33.000000,378.586524,-1.598918,-0.011614
10.300000,382.586233,382.586236,-1.645209,-0.011703,39.999806,-0.000026,-0.000000,0.000078,0.000280,-0.000033,6.999806,33.000000,382.586233,-1.645489,-0.011670
10.400000,386.585940,386.585943,-1.692019,-0.011742,39.999806,-0.000018,0.000000,0.000078,0.000243,-0.000027,6.999806,33.000000,386.585940,-1.692263,-0.011715
10.500000,390.585646,390.585648,-1.738986,-0.011769,39.999806,-0.000011,0.000000,0.000078,0.000206,-0.000021,6.999806,33.000000,390.585646,-1.739192,-0.011748
10.600000,394.585350,394.585351,-1.786062,-0.011785,39.999806,-0.000003,-0.000000,0.000079,0.000168,-0.000015,6.999806,33.000000,394.585350,-1.786230,-0.011770
10.700000,398.585053,398.585054,-1.833201,-0.011789,39.999806,0.000005,0.000000,0.000078,0.000131,-0.000010,6.999806,33.000000,398.585053,-1.833331,-0.011779
10.800000,402.584756,402.584757,-1.880356,-0.011782,39.999806,0.000013,0.000000,0.000078,0.000093,-0.000004,6.999806,33.000000,402.584756,-1.880449,-0.011778
10.900000,406.584459,406.584460,-1.927482,-0.011763,39.999806,0.000021,0.000000,0.000078,0.000055,0.000002,6.999806,33.000000,406.584459,-1.927536,-0.011764
11.000000,410.584163,410.584164,-1.974531,-0.011732,39.999806,0.000029,-0.000000,0.000078,0.000017,0.000008,6.999806,33.000000,410.584163,-1.974547,-0.011740
11.100000,414.583869,414.583869,-2.021457,-0.011690,39.999806,0.000036,-0.000000,0.000077,-0.000021,0.000013,6.999806,33.000000,414.583869,-2.021435,-0.011703
11.200000,418.583577,418.583576,-2.068214,-0.011636,39.999806,0.000044,0.000000,0.000077,-0.000059,0.000019,6.999806,33.000000,418.583577,-2.068154,-0.011655
11.300000,422.583287,422.583286,-2.114756,-0.011570,39.999806,0.000052,0.000000,0.000077,-0.000097,0.000025,6.999806,33.000000,422.583287,-2.114658,-0.011595
11.400000,426.583000,426.582999,-2.161036,-0.011494,39.999806,0.000059,-0.000000,0.000076,-0.000135,0.000031,6.999806,33.000000,426.583000,-2.160901,-0.011524
11.500000,430.582717,430.582715,-2.207010,-0.011406,39.999806,0.000067,0.000000,0.000075,-0.000173,0.000036,6.999806,33.000000,430.582717,-2.206837,-0.011442
11.600000,434.582438,434.582436,-2.252632,-0.011306,39.999806,0.000075,0.000000,0.000075,-0.000211,0.000042,6.999806,33.000000,434.582438,-2.252421,-0.011348
11.700000,438.582163,438.582160,-2.297856,-0.011196,39.999806,0.000082,-0.000000,0.000074,-0.000248,0.000048,6.999806,33.000000,438.582163,-2.297608,-0.011244
11.800000,442.581894,442.581890,-2.342638,-0.011074,39.999806,0.000089,0.000000,0.000073,-0.000285,0.000053,6.999806,33.000000,442.581894,-2.342353,-0.011128
11.900000,446.581629,446.581626,-2.386934,-0.010942,39.999806,0.000097,-0.000000,0.000072,-0.000322,0.000059,6.999806,33.000000,446.581629,-2.386612,-0.011001
12.000000,450.581371,450.581367,-2.430701,-0.010799,39.999806,0.000104,-0.000000,0.000071,-0.000359,0.000064,6.999806,33.000000,450.581371,-2.430343,-0.010863
12.100000,454.581118,454.581114,-2.473895,-0.010645,39.999806,0.000111,-0.000000,0.000070,-0.000395,0.000070,6.999806,33.000000,454.581118,-2.473500,-0.010714
12.200000,458.580873,458.580868,-2.516473,-0.010480,39.999806,0.000118,0.000000,0.000069,-0.000430,0.000075,6.999806,33.000000,458.580873,-2.516042,-0.010555
12.300000,462.580634,462.580629,-2.558393,-0.010306,39.999806,0.000125,0.000000,0.000067,-0.000466,0.000080,6.999806,33.000000,462.580634,-2.557927,-0.010386
12.400000,466.580402,466.580397,-2.599615,-0.010121,39.999806,0.000132,-0.000000,0.000066,-0.000501,0.000085,6.999806,33.000000,466.580402,-2.599114,-0.010206
12.500000,470.580178,470.580173,-2.640097,-0.009926,39.999806,0.000138,-0.000000,0.000065,-0.000535,0.000090,6.999806,33.000000,470.580178,-2.639562,-0.010016
12.600000,474.579962,474.579956,-2.679799,-0.009721,39.999806,0.000145,0.000000,0.000063,-0.000569,0.000095,6.999806,33.000000,474.579962,-2.679230,-0.009817
12.700000,478.579754,478.579748,-2.718683,-0.009507,39.999806,0.000151,0.000000,0.000062,-0.000602,0.000100,6.999806,33.000000,478.579754,-2.718080,-0.009607
12.800000,482.579554,482.579548,-2.756709,-0.009283,39.999806,0.000157,0.000000,0.000060,-0.000635,0.000105,6.999806,33.000000,482.579554,-2.756074,-0.009388
12.900000,486.579362,486.579356,-2.793841,-0.009050,39.999806,0.000163,0.000000,0.000059,-0.000667,0.000110,6.999806,33.000000,486.579362,-2.793174,-0.009160
13.000000,490.579179,490.579173,-2.830042,-0.008809,39.999806,0.000169,-0.000000,0.000057,-0.000699,0.000114,6.999806,33.000000,490.579179,-2.829343,-0.008923
13.100000,494.579004,494.578998,-2.865275,-0.008558,39.999806,0.000175,0.000000,0.000055,-0.000729,0.000119,6.999806,33.000000,494.579004,-2.864546,-0.008677
13.200000,498.578838,498.578832,-2.899507,-0.008299,39.999806,0.000180,-0.000000,0.000054,-0.000759,0.000123,6.999806,33.000000,498.578838,-2.898748,-0.008423
13.300000,502.578681,502.578675,-2.932703,-0.008032,39.999806,0.000186,0.000000,0.000052,-0.000789,0.000128,6.999806,33.000000,502.578681,-2.931915,-0.008160
13.400000,506.578533,506.578526,-2.964831,-0.007757,39.999806,0.000191,-0.000000,0.000050,-0.000817,0.000132,6.999806,33.000000,506.578533,-2.964014,-0.007889
13.500000,510.578393,510.578387,-2.995859,-0.007474,39.999806,0.000196,-0.000000,0.000048,-0.000845,0.000136,6.999806,33.000000,510.578393,-2.995014,-0.007610
13.600000,514.578262,514.578255,-3.025756,-0.007184,39.999806,0.000201,0.000000,0.000046,-0.000872,0.000140,6.999806,33.000000,514.578262,-3.024884,-0.007324
13.700000,518.578139,518.578133,-3.054493,-0.006887,39.999806,0.000205,-0.000000,0.000044,-0.000898,0.000143,6.999806,33.000000,518.578139,-3.053595,-0.007030
13.800000,522.578025,522.578018,-3.082041,-0.006583,39.999806,0.000210,0.000000,0.000042,-0.000923,0.000147,6.999806,33.000000,522.578025,-3.081118,-0.006730
13.900000,526.577918,526.577912,-3.108374,-0.006273,39.999806,0.000214,-0.000000,0.000040,-0.000947,0.000150,6.999806,33.000000,526.577918,-3.107427,-0.006423
14.000000,530.577820,530.577814,-3.133465,-0.005956,39.999806,0.000218,-0.000000,0.000038,-0.000970,0.000154,6.999806,33.000000,530.577820,-3.132494,-0.006110
14.100000,534.577730,534.577724,-3.157289,-0.005634,39.999806,0.000221,0.000000,0.000035,-0.000993,0.000157,6.999806,33.000000,534.577730,-3.156296,-0.005790
14.200000,538.577646,538.577641,-3.179823,-0.005306,39.999806,0.000225,-0.000000,0.000033,-0.001014,0.000160,6.999806,33.000000,538.577646,-3.178809,-0.005465
14.300000,542.577571,542.577565,-3.201045,-0.004972,39.999806,0.000228,0.000000,0.000031,-0.001034,0.000162,6.999806,33.000000,542.577571,-3.200011,-0.005135
14.400000,546.577501,546.577496,-3.220934,-0.004634,39.999806,0.000231,0.000000,0.000029,-0.001054,0.000165,6.999806,33.000000,546.577501,-3.219880,-0.004799
14.500000,550.577439,550.577434,-3.239470,-0.004291,39.999806,0.000234,-0.000000,0.000026,-0.001072,0.000168,6.999806,33.000000,550.577439,-3.238398,-0.004459
14.600000,554.577382,554.577378,-3.256635,-0.003944,39.999806,0.000237,0.000000,0.000024,-0.001089,0.000170,6.999806,33.000000,554.577382,-3.255545,-0.004114
14.700000,558.577331,558.577327,-3.272411,-0.003593,39.999806,0.000239,0.000000,0.000022,-0.001105,0.000172,6.999806,33.000000,558.577331,-3.271306,-0.003765
14.800000,562.577286,562.577282,-3.286784,-0.003239,39.999806,0.000241,-0.000000,0.000019,-0.001120,0.000174,6.999806,33.000000,562.577286,-3.285664,-0.003413
14.900000,566.577245,566.577241,-3.299739,-0.002881,39.999806,0.000243,-0.000000,0.000017,-0.001134,0.000176,6.999806,33.000000,566.577245,-3.298605,-0.003057
15.000000,570.577208,570.577205,-3.311263,-0.002521,39.999806,0.000245,-0.000000,0.000014,-0.001147,0.000178,6.999806,33.000000,570.577208,-3.310116,-0.002698
15.100000,574.577176,574.577173,-3.321346,-0.002158,39.999806,0.000246,0.000000,0.000012,-0.001159,0.000179,6.999806,33.000000,574.577176,-3.320187,-0.002337
15.200000,578.577147,578.577144,-3.329976,-0.001792,39.999806,0.000248,-0.000000,0.000010,-0.001169,0.000180,6.999806,33.000000,578.577147,-3.328807,-0.001973
15.300000,582.577121,582.577119,-3.337146,-0.001426,39.999806,0.000249,0.000000,0.000007,-0.001179,0.000181,6.999806,33.000000,582.577121,-3.335967,-0.001607
15.400000,586.577097,586.577095,-3.342848,-0.001057,39.999806,0.000249,0.000000,0.000005,-0.001187,0.000182,6.999806,33.000000,586.577097,-3.341661,-0.001240
15.500000,590.577074,590.577073,-3.347077,-0.000688,39.999806,0.000250,-0.000000,0.000002,-0.001194,0.000183,6.999806,33.000000,590.577074,-3.345883,-0.000871
15.600000,594.577054,594.577053,-3.349828,-0.000318,39.999806,0.000250,-0.000000,-0.000000,-0.001200,0.000184,6.999806,33.000000,594.577054,-3.348628,-0.000502
15.700000,598.577034,598.577033,-3.351100,0.000053,39.999806,0.000250,-0.000000,-0.000003,-0.001205,0.000184,6.999806,33.000000,598.577034,-3.349895,-0.000132
15.800000,602.577014,602.577014,-3.350890,0.000423,39.999806,0.000250,0.000000,-0.000005,-0.001208,0.000184,6.999806,33.000000,602.577014,-3.349681,0.000238
15.900000,606.576993,606.576994,-3.349198,0.000793,39.999806,0.000249,-0.000000,-0.000008,-0.001211,0.000184,6.999806,33.000000,606.576993,-3.347988,0.000608
16.000000,610.576972,610.576973,-3.346028,0.001162,39.999806,0.000248,0.000000,-0.000010,-0.001212,0.000184,6.999806,33.000000,610.576972,-3.344816,0.000978
16.100000,614.576950,614.576951,-3.341381,0.001530,39.999806,0.000247,-0.000000,-0.000013,-0.001212,0.000184,6.999806,33.000000,614.576950,-3.340169,0.001346
