s,x_right,y_right,x_left,y_left,psi_center,kappa_center,v_ref,x_centerline,y_centerline,lane_width,x_left_border,y_left_border,x_right_border,y_right_border
12,12,-1.70883753002223,12,1.99116246997777,0.0117280297510666,-8.70563550214687E-06,10,12,0.141162469977771,3.7,11.9783036423455,3.84103524075541,12.0216963576545,-3.55871030079986
13,13,-1.69711331630743,13,2.00288668369258,0.0117189618290325,-9.42868289318513E-06,10,13,0.152886683692575,3.7,12.9783204168485,3.85275965113504,13.0216795831515,-3.54698628374989
14,14,-1.68539853336343,14,2.01460146663657,0.0117091710903267,-1.01511493948567E-05,10,14,0.164601466636568,3.7,13.9783385284724,3.8644746462495,14.0216614715276,-3.53527171297636
15,15,-1.67369390381324,15,2.02630609618676,0.0116986581383931,-1.08729904952053E-05,10,15,0.176306096186757,3.7,14.9783579761014,3.87617950342347,15.0216420238986,-3.52356731104996
16,16,-1.66200014965354,16,2.03799985034646,0.0116874236211892,-1.15941617204903E-05,10,16,0.187999850346456,3.7,15.9783787585374,3.88787350060412,16.0216212414626,-3.51187379991121
17,17,-1.65031799221017,17,2.04968200778983,0.0116754682311473,-1.23146186376737E-05,10,17,0.199682007789829,3.7,16.9784008744999,3.89955591640567,17.0215991255001,-3.50019190082601
18,18,-1.63864815209363,18,2.06135184790637,0.011662792705132,-1.3034316857335E-05,10,18,0.211351847906374,3.7,17.9784243226265,3.91122603015388,18.0215756773735,-3.48852233434113
19,19,-1.62699134915462,19,2.07300865084538,0.0116493978243948,-1.37532120364364E-05,10,19,0.223008650845384,3.7,18.9784491014725,3.92288312193056,19.0215508985275,-3.47686582023979
20,20,-1.61534830243965,20,2.08465169756035,0.0116352844145263,-1.44712598808632E-05,10,20,0.234651697560346,3.7,19.9784752095113,3.93452647261795,20.0215247904887,-3.46522307749726
21,21,-1.60371973014671,21,2.09628026985329,0.0116204533454057,-1.51884161481943E-05,10,21,0.246280269853294,3.7,20.9785026451343,3.9461553639431,21.0214973548657,-3.45359482423651
22,22,-1.59210634958089,22,2.10789365041911,0.0116049055311477,-1.59046366504164E-05,10,22,0.257893650419114,3.7,21.9785314066512,3.95776907852221,22.0214685933488,-3.44198177768399
23,23,-1.58050887711021,23,2.11949112288979,0.0115886419300463,-1.66198772566235E-05,10,23,0.269491122889789,3.7,22.9785614922901,3.96936689990488,23.0214385077099,-3.4303846541253
24,24,-1.56892802812141,24,2.13107197187859,0.0115716635445162,-1.73340938956766E-05,10,24,0.281071971878587,3.7,23.9785929001973,3.9809481126183,24.0214070998027,-3.41880416886112
25,25,-1.55736451697581,25,2.14263548302419,0.0115539714210314,-1.80472425589671E-05,10,25,0.292635483024192,3.7,24.9786256284378,3.99251200221144,25.0213743715622,-3.40724103616305
26,26,-1.54581905696523,26,2.15418094303477,0.011535566650061,-1.87592793030065E-05,10,26,0.304180943034769,3.7,25.9786596749951,4.00405785529912,26.0213403250049,-3.39569596922958
27,27,-1.53429236026804,27,2.16570763973196,0.0115164503660028,-1.94701602521317E-05,10,27,0.315707639731958,3.7,26.9786950377715,4.01558495960602,27.0213049622285,-3.3841696801421
28,28,-1.52278513790519,28,2.17721486209481,0.0114966237471134,-2.01798416013812E-05,10,28,0.327214862094814,3.7,27.9787317145883,4.02709260401065,28.0212682854117,-3.37266287982103
29,29,-1.51129809969634,29,2.18870190030366,0.0114760880154359,-2.08882796188169E-05,10,29,0.338701900303656,3.7,28.9787697031857,4.03858007858924,29.0212302968143,-3.36117627798192
30,30,-1.49983195421614,30,2.20016804578386,0.0114548444367259,-2.15954306484013E-05,10,30,0.350168045783858,3.7,29.9788090012232,4.05004667465951,30.0211909987768,-3.34971058309179
31,31,-1.48838740875044,31,2.21161259124956,0.011432894320373,-2.23012511128465E-05,10,31,0.361612591249558,3.7,30.9788496062794,4.06149168482445,31.0211503937206,-3.33826650232533
32,32,-1.47696516925272,32,2.22303483074728,0.011410239019321,-2.30056975159263E-05,10,32,0.373034830747282,3.7,31.9788915158526,4.07291440301598,32.0211084841474,-3.32684474152141
33,33,-1.46556594030051,33,2.2344340596995,0.0113868799299851,-2.37087264452691E-05,10,33,0.384434059699495,3.7,32.9789347273606,4.08431412453847,33.0210652726394,-3.31544600513947
34,34,-1.45419042505194,34,2.24580957494806,0.0113628184921663,-2.44102945750671E-05,10,34,0.39580957494806,3.7,33.9789792381408,4.09569014611228,34.0210207618592,-3.30407099621616
35,35,-1.44283932520239,35,2.25716067479761,0.0113380561889633,-2.51103586687131E-05,10,35,0.407160674797611,3.7,34.9790250454509,4.10704176591716,35.0209749545491,-3.29272041632194
36,36,-1.43151334094116,36,2.26848665905884,0.0113125945466813,-2.58088755815414E-05,10,36,0.418486659058844,3.7,35.9790721464683,4.11836828363555,36.0209278535317,-3.28139496551786
37,37,-1.4202131709083,37,2.2797868290917,0.0112864351347385,-2.65058022631729E-05,10,37,0.429786829091698,3.7,36.9791205382909,4.1296690004958,37.0208794617091,-3.2700953423124
38,38,-1.40893951215154,38,2.29106048784846,0.0112595795655707,-2.72010957603642E-05,10,38,0.441060487848456,3.7,37.979170217937,4.1409432193153,38.020829782063,-3.25882224361838
39,39,-1.39769306008326,39,2.30230693991674,0.0112320294945315,-2.78947132197928E-05,10,39,0.452306939916744,3.7,38.9792211823456,4.15219024454352,39.0207788176544,-3.24757636471003
40,40,-1.38647450843758,40,2.31352549156242,0.0112037866197913,-2.85866118901663E-05,10,40,0.463525491562421,3.7,39.9792734283763,4.16340938230495,40.0207265716237,-3.23635839918011
41,41,-1.37528454922762,41,2.32471545077238,0.0111748526822338,-2.92767491253939E-05,10,41,0.474715450772379,3.7,40.97932695281,4.17459994044191,41.02067304719,-3.22516903889715
42,42,-1.36412387270278,42,2.33587612729722,0.011145229465348,-2.99650823870806E-05,10,42,0.485876127297224,3.7,41.9793817523485,4.18576122855724,42.0206182476515,-3.21400897396279
43,43,-1.35299316730614,43,2.34700683269386,0.0111149187951201,-3.06515692467093E-05,10,43,0.497006832693856,3.7,42.9794378236152,4.196892558057,43.0205621763848,-3.20287889266929
44,44,-1.34189311963206,44,2.35810688036794,0.0110839225399212,-3.13361673888025E-05,10,44,0.508106880367937,3.7,43.9794951631551,4.20799324219289,44.0205048368449,-3.19177948145702
45,45,-1.33082441438376,45,2.36917558561624,0.0110522426103926,-3.20188346130924E-05,10,45,0.51917558561624,3.7,44.979553767435,4.21906259610469,45.020446232565,-3.18071142487221
46,46,-1.31978773433111,46,2.38021226566889,0.0110198809593292,-3.26995288374063E-05,10,46,0.530212265668886,3.7,45.9796136328436,4.23009993686251,46.0203863671564,-3.16967540552474
47,47,-1.30878376026854,47,2.39121623973146,0.0109868395815588,-3.33782081002572E-05,10,47,0.541216239731463,3.7,46.9796747556921,4.24110458350895,47.0203252443079,-3.15867210404603
48,48,-1.29781317097298,48,2.40218682902702,0.010953120513821,-3.40548305628782E-05,10,48,0.552186829027017,3.7,47.979737132214,4.25207585710116,48.020262867786,-3.14770219904712
49,49,-1.28687664316208,49,2.41312335683792,0.0109187258346419,-3.47293545124875E-05,10,49,0.563123356837925,3.7,48.9798007585656,4.2630130807527,49.0201992414344,-3.13676636707685
50,50,-1.27597485145237,50,2.42402514854763,0.0108836576642062,-3.5401738364682E-05,10,50,0.574025148547635,3.7,49.9798656308262,4.27391557967537,50.0201343691739,-3.1258652825801
51,51,-1.26510846831772,51,2.43489153168228,0.0108479181642279,-3.60719406656149E-05,10,51,0.584891531682283,3.7,50.979931744998,4.28478268122086,51.020068255002,-3.1149996178563
52,52,-1.25427816404783,52,2.44572183595217,0.0108115095378172,-3.67399200947923E-05,10,52,0.595721835952171,3.7,51.9799990970071,4.29561371492226,52.0200009029929,-3.10417004301791
53,53,-1.24348460670688,53,2.45651539329312,0.0107744340293462,-3.74056354677166E-05,10,53,0.606515393293118,3.7,52.9800676827028,4.30640801253543,53.0199323172972,-3.09337722594919
54,54,-1.23272846209234,54,2.46727153790766,0.0107366939243103,-3.80690457382645E-05,10,54,0.617271537907663,3.7,53.9801374978588,4.3171649080803,54.0198625021412,-3.08262183226498
55,55,-1.22201039369386,55,2.47798960630614,0.0106982915491889,-3.87301100012873E-05,10,55,0.627989606306142,3.7,54.9802085381725,4.32788373788198,55.0197914618275,-3.0719045252697
56,56,-1.21133106265239,56,2.48866893734761,0.0106592292713019,-3.93887874950918E-05,10,56,0.638668937347609,3.7,55.9802807992662,4.33856384061169,56.0197192007338,-3.06122596591647
57,57,-1.20069112771938,57,2.49930887228062,0.0106195094986655,-4.00450376038211E-05,10,57,0.649308872280621,3.7,56.9803542766867,4.34920455732762,57.0196457233133,-3.05058681276638
58,58,-1.19009124521613,58,2.50990875478387,0.0105791346798437,-4.06988198603039E-05,10,58,0.659908754783873,3.7,57.9804289659059,4.35980523151561,58.0195710340942,-3.03998772194786
59,59,-1.17953206899332,59,2.52046793100668,0.0105381073037983,-4.13500939480744E-05,10,59,0.670467931006681,3.7,58.9805048623207,4.37036520912968,59.0194951376793,-3.02942934711631
60,60,-1.16901425039068,60,2.53098574960932,0.0104964298997366,-4.19988197040786E-05,10,60,0.68098574960932,3.7,59.9805819612539,4.3808838386324,60.0194180387461,-3.01891233941376
61,61,-1.15853843819681,61,2.54146156180319,0.010454105036956,-4.26449571215038E-05,10,61,0.691461561803193,3.7,60.9806602579541,4.39136047103515,61.0193397420459,-3.00843734742877
62,62,-1.14810527860914,62,2.55189472139086,0.010411135324686,-4.32884663516027E-05,10,62,0.70189472139086,3.7,61.9807397475958,4.40179445993815,62.0192602524042,-2.99800501715643
63,63,-1.13771541519411,63,2.56228458480589,0.0103675234119288,-4.39293077064644E-05,10,63,0.712284584805892,3.7,62.9808204252801,4.41218516157037,63.0191795747199,-2.98761599195859
64,64,-1.12736948884743,64,2.57263051115257,0.0103232719872962,-4.45674416614527E-05,10,64,0.722630511152573,3.7,63.9809022860348,4.42253193482933,64.0190977139652,-2.97727091252419
65,65,-1.11706813775457,65,2.58293186224543,0.0102783837788452,-4.52028288576425E-05,10,65,0.732931862245432,3.7,64.9809853248147,4.43283414132063,65.0190146751853,-2.96697041682976
66,66,-1.10681199735139,66,2.59318800264861,0.01023286155391,-4.58354301041787E-05,10,66,0.743188002648612,3.7,65.981069536502,4.44309114539738,66.018930463498,-2.95671514010015
67,67,-1.09660170028494,67,2.60339829971506,0.0101867081189328,-4.64652063808546E-05,10,67,0.753398299715058,3.7,66.9811549159066,4.45330231419946,67.0188450840934,-2.94650571476934
68,68,-1.08643787637444,68,2.61356212362556,0.0101399263192907,-4.70921188404987E-05,10,68,0.763562123625557,3.7,67.9812414577661,4.46346701769262,68.0187585422339,-2.9363427704415
69,69,-1.07632115257243,69,2.62367884742757,0.0100925190391219,-4.77161288108082E-05,10,69,0.773678847427571,3.7,68.9813291567468,4.47358462870731,69.0186708432532,-2.92622693385217
70,70,-1.06625215292608,70,2.63374784707392,0.0100444892011485,-4.83371977975906E-05,10,70,0.783747847073923,3.7,69.9814180074432,4.4836545229775,70.0185819925568,-2.91615882882965
71,71,-1.05623149853871,71,2.64376850146129,0.0099958397664966,-4.89552874867953E-05,10,71,0.793768501461286,3.7,70.9815080043791,4.49367607917915,71.0184919956209,-2.90613907625657
72,72,-1.04625980753151,72,2.65374019246849,0.009946573734515,-4.9570359746572E-05,10,72,0.803740192468495,3.7,71.9815991420074,4.50364867896861,72.0184008579926,-2.89616829403162
73,73,-1.03633769500532,73,2.66366230499468,0.009896694142591,-5.01823766300459E-05,10,73,0.813662304994678,3.7,72.9816914147107,4.51357170702082,73.0183085852893,-2.88624709703146
74,74,-1.0264657730028,74,2.6735342269972,0.0098462040659637,-5.07913003774864E-05,10,74,0.823534226997198,3.7,73.9817848168014,4.52344455106727,74.0182151831986,-2.87637609707288
75,75,-1.0166446504706,75,2.6833553495294,0.0097951066175356,-5.13970934186444E-05,10,75,0.833355349529403,3.7,74.9818793425225,4.53326660193385,75.0181206574775,-2.86655590287504
76,76,-1.0068749332218,76,2.6931250667782,0.0097434049476807,-5.19997183751179E-05,10,76,0.843125066778196,3.7,75.9819749860476,4.54303725357843,76.0180250139525,-2.85678712002204
77,77,-0.997157223898604,77,2.7028427761014,0.0096911022440519,-5.25991380626037E-05,10,77,0.852842776101396,3.7,76.982071741481,4.55275590312831,77.017928258519,-2.84707035092551
78,78,-0.987492121935082,78,2.71250787806492,0.0096382017313846,-5.31953154930726E-05,10,78,0.862507878064918,3.7,77.9821696028589,4.56242195091744,78.0178303971411,-2.8374061947876
79,79,-0.977880223520254,79,2.72211977647975,0.0095847066712992,-5.37882138775792E-05,10,79,0.872119776479746,3.7,78.9822685641488,4.57203480052346,79.0177314358512,-2.82779524756397
80,80,-0.96832212156129,80,2.73167787843871,0.0095306203620999,-5.43777966279606E-05,10,80,0.88167787843871,3.7,79.9823686192507,4.58159385880454,80.0176313807493,-2.81823810192712
81,81,-0.958818405646942,81,2.74118159435306,0.009475946138573,-5.49640273590721E-05,10,81,0.891181594353057,3.7,80.9824697619968,4.59109853593599,81.0175302380032,-2.80873534722987
82,82,-0.949369662011174,82,2.75063033798883,0.0094206873717817,-5.55468698917918E-05,10,82,0.900630337988826,3.7,81.9825719861524,4.6005482454467,82.0174280138476,-2.79928756946905
83,83,-0.939976473497001,83,2.760023526503,0.0093648474688584,-5.61262882545298E-05,10,83,0.910023526503,3.7,82.9826752854158,4.60994240425537,83.0173247145842,-2.78989535124937
84,84,-0.930639419520535,84,2.76936058047946,0.0093084298727966,-5.67022466853811E-05,10,84,0.919360580479465,3.7,83.9827796534194,4.61928043270649,84.0172203465806,-2.78055927174756
