t,veh_id,x,y,psi,v,ax,lane_id
0.0,0,2.77,-1.8173694471446022,0.011777454576213377,27.7,-3.0,0
0.0,1,62.5,-1.1429103469016242,0.010389329368307422,25.0,0.0,0
0.1,0,5.51,-1.785107600624208,0.011769187534893435,27.4,-3.0,0
0.1,1,65.0,-1.1170681377545677,0.010278383778845202,25.0,0.0,0
0.2,0,8.219999999999999,-1.7532281867934185,0.011755705030870766,27.099999999999998,-3.0,0
0.2,1,67.5,-1.0915197883296923,0.01016331721911181,25.0,0.0,0
0.30000000000000004,0,10.899999999999999,-1.7217445418136268,0.011737136363196609,26.799999999999997,-3.0,0
0.30000000000000004,1,70.0,-1.066252152926077,0.010044489201148556,25.0,0.0,0
0.4,0,13.549999999999999,-1.690670185688229,0.011713576922744353,26.499999999999996,-3.0,0
0.4,1,72.5,-1.0412987512684135,0.009921633938553023,25.0,0.0,0
0.5,0,16.169999999999998,-1.6600141828881705,0.011685391204882108,26.199999999999996,-3.0,0
0.5,1,75.0,-1.0166446504705968,0.009795106617535623,25.0,0.0,0
0.6000000000000001,0,18.759999999999998,-1.629788981859978,0.011652612595771803,25.899999999999995,-3.0,0
0.6000000000000001,1,77.5,-0.9923246729168433,0.009664651987718324,25.0,0.0,0
0.7000000000000001,0,21.319999999999997,-1.6000034483656433,0.011615478044843168,25.599999999999994,-3.0,0
0.7000000000000001,1,80.0,-0.9683221215612905,0.009530620362099935,25.0,0.0,0
0.8,0,23.849999999999994,-1.5706651554697328,0.011574210302345725,25.299999999999994,-3.0,0
0.8,1,82.5,-0.9446730677540874,0.009392767420320101,25.0,0.0,0
0.9,0,26.349999999999994,-1.541784713121215,0.011528875950640678,24.999999999999993,-3.0,0
0.9,1,85.0,-0.9213590760352492,0.009251438062238344,25.0,0.0,0
1.0,0,28.819999999999993,-1.5133657665739362,0.011479784447137894,24.699999999999992,-3.0,0
1.0,1,87.5,-0.8984174111014498,0.009106399274696194,25.0,0.0,0
1.1,0,31.25999999999999,-1.485417626481034,0.0114270039420995,24.39999999999999,-3.0,0
1.1,1,90.0,-0.8758279275047247,0.008957990012769895,25.0,0.0,0
1.2000000000000002,0,33.66999999999999,-1.457944345083967,0.011370758766646581,24.09999999999999,-3.0,0
1.2000000000000002,1,92.5,-0.8536290258288116,0.008805988930289783,25.0,0.0,0
1.3,0,36.04999999999998,-1.4309483324395138,0.011311286576084191,23.79999999999999,-3.0,0
1.3,1,95.0,-0.8317988817005877,0.008650728515004466,25.0,0.0,0
1.4000000000000001,0,38.399999999999984,-1.4044409313242292,0.011248559537155093,23.49999999999999,-3.0,0
1.4000000000000001,1,97.5,-0.8103769723799364,0.008491999429561706,25.0,0.0,0
1.5,0,40.719999999999985,-1.3784177378064093,0.011182954184749941,23.19999999999999,-3.0,0
1.5,1,100.0,-0.7893398282201787,0.00833012718174325,25.0,0.0,0
1.6,0,43.009999999999984,-1.352882166829403,0.011114608832568153,22.899999999999988,-3.0,0
1.6,1,102.5,-0.7687279422862713,0.008164914766349533,25.0,0.0,0
1.7000000000000002,0,45.26999999999998,-1.3278445107695462,0.011043504964605535,22.599999999999987,-3.0,0
1.7000000000000002,1,105.0,-0.7485162358464716,0.007996680209250233,25.0,0.0,0
1.8,0,47.49999999999998,-1.3032984656207605,0.010969980047689945,22.299999999999986,-3.0,0
1.8,1,107.5,-0.7287461553334388,0.007825239141735467,25.0,0.0,0
1.9000000000000001,0,49.699999999999974,-1.2792453889652788,0.010894178115336963,21.999999999999986,-3.0,0
1.9000000000000001,1,110.0,-0.7093910515999535,0.007650901617286797,25.0,0.0,0
2.0,0,51.869999999999976,-1.2556861036029148,0.010816242659250663,21.699999999999985,-3.0,0
2.0,1,112.5,-0.6904932605389822,0.007473496188543537,25.0,0.0,0
2.1,0,54.00999999999998,-1.2326212814083524,0.010736309900559139,21.399999999999984,-3.0,0
2.1,1,115.0,-0.6720246036788824,0.007293324458350019,25.0,0.0,0
2.2,0,56.119999999999976,-1.21005427046043,0.010654462898585602,21.099999999999984,-3.0,0
2.2,1,117.5,-0.6540282410940496,0.007110228165631725,25.0,0.0,0
2.3000000000000003,0,58.199999999999974,-1.187979409971566,0.010570929204634677,20.799999999999983,-3.0,0
2.3000000000000003,1,120.0,-0.6364745084375789,0.006924499997312764,25.0,0.0,0
2.4000000000000004,0,60.24999999999997,-1.166395297342212,0.01048584868404152,20.499999999999982,-3.0,0
2.4000000000000004,1,122.5,-0.6194073234155876,0.006735995123201086,25.0,0.0,0
2.5,0,62.26999999999997,-1.1453000154870818,0.010399360108241587,20.19999999999998,-3.0,0
2.5,1,125.0,-0.6027955815461823,0.006544996862704751,25.0,0.0,0
2.6,0,64.25999999999996,-1.1246911375632842,0.010311601053098942,19.89999999999998,-3.0,0
2.6,1,127.5,-0.5866838904492824,0.0063513740403862385,25.0,0.0,0
2.7,0,66.21999999999996,-1.1045657319967708,0.010222707798215037,19.59999999999998,-3.0,0
2.7,1,130.0,-0.5710397534688618,0.006155400170928884,25.0,0.0,0
2.8000000000000003,0,68.14999999999995,-1.0849203678041415,0.010132815227265462,19.29999999999998,-3.0,0
2.8000000000000003,1,132.5,-0.555908399356926,0.005956957936442953,25.0,0.0,0
2.9000000000000004,0,70.04999999999994,-1.0657511202067094,0.010042056729415962,18.99999999999998,-3.0,0
2.9000000000000004,1,135.0,-0.5412559893908044,0.005756310624745889,25.0,0.0,0
3.0,0,71.91999999999994,-1.0470575428120825,0.009950515017073558,18.699999999999978,-3.0,0
